Date,Team1,Score1,Team2,Score2,Total_Score,Odd_Even
2015-03-28,NC,4,두산,9,13,O
2015-03-28,한화,4,넥센,5,9,O
2015-03-28,SK,1,삼성,6,7,O
2015-03-28,LG,1,KIA,3,4,E
2015-03-28,KT,9,롯데,12,21,O
2015-03-29,KT,4,롯데,5,9,O
2015-03-29,LG,6,KIA,7,13,O
2015-03-29,SK,7,삼성,3,10,E
2015-03-29,한화,5,넥센,3,8,E
2015-03-29,NC,1,두산,4,5,O
2015-03-31,롯데,7,LG,1,8,E
2015-03-31,삼성,8,KT,6,14,E
2015-04-01,롯데,2,LG,3,5,O
2015-04-01,KIA,3,SK,0,3,O
2015-04-01,두산,6,한화,3,9,O
2015-04-01,넥센,3,NC,10,13,O
2015-04-01,삼성,5,KT,1,6,E
2015-04-02,두산,2,한화,4,6,E
2015-04-03,삼성,7,LG,3,10,E
2015-04-03,SK,3,넥센,14,17,O
2015-04-03,두산,0,롯데,5,5,O
2015-04-03,한화,6,NC,11,17,O
2015-04-03,KIA,5,KT,0,5,O
2015-04-04,KIA,10,KT,2,12,E
2015-04-04,SK,10,넥센,4,14,E
2015-04-04,삼성,2,LG,3,5,O
2015-04-05,삼성,5,LG,6,11,O
2015-04-05,두산,4,롯데,16,20,E
2015-04-05,한화,2,NC,9,11,O
2015-04-05,KIA,4,KT,1,5,O
2015-04-05,SK,13,넥센,7,20,E
2015-04-07,NC,5,KIA,3,8,E
2015-04-07,롯데,1,삼성,3,4,E
2015-04-07,LG,3,한화,4,7,O
2015-04-07,KT,2,SK,3,5,O
2015-04-07,넥센,17,두산,4,21,O
2015-04-08,NC,13,KIA,5,18,E
2015-04-08,롯데,2,삼성,4,6,E
2015-04-08,LG,3,한화,2,5,O
2015-04-08,KT,1,SK,2,3,O
2015-04-08,넥센,4,두산,9,13,O
2015-04-09,넥센,0,두산,1,1,O
2015-04-09,KT,2,SK,13,15,O
2015-04-09,LG,4,한화,5,9,O
2015-04-09,롯데,4,삼성,5,9,O
2015-04-09,NC,4,KIA,2,6,E
2015-04-10,SK,3,NC,2,5,O
2015-04-10,한화,9,롯데,10,19,O
2015-04-10,KIA,3,삼성,4,7,O
2015-04-10,KT,0,넥센,6,6,E
2015-04-10,두산,2,LG,5,7,O
2015-04-11,두산,9,LG,6,15,O
2015-04-11,KT,6,넥센,4,10,E
2015-04-11,KIA,2,삼성,5,7,O
2015-04-11,한화,4,롯데,1,5,O
2015-04-11,SK,2,NC,4,6,E
2015-04-12,한화,3,롯데,15,18,E
2015-04-12,SK,11,NC,8,19,O
2015-04-12,KIA,9,삼성,7,16,E
2015-04-12,KT,5,넥센,3,8,E
2015-04-12,두산,2,LG,3,5,O
2015-04-14,삼성,3,한화,5,8,E
2015-04-14,NC,4,롯데,5,9,O
2015-04-14,두산,18,KT,2,20,E
2015-04-15,두산,7,KT,6,13,O
2015-04-15,NC,0,롯데,6,6,E
2015-04-15,삼성,8,한화,3,11,O
2015-04-15,넥센,6,SK,4,10,E
2015-04-15,KIA,9,LG,4,13,O
2015-04-16,NC,8,롯데,3,11,O
2015-04-16,넥센,0,SK,10,10,E
2015-04-16,KIA,5,LG,10,15,O
2015-04-17,넥센,4,KIA,3,7,O
2015-04-17,KT,1,삼성,6,7,O
2015-04-17,NC,6,한화,10,16,E
2015-04-17,LG,6,SK,1,7,O
2015-04-17,롯데,1,두산,12,13,O
2015-04-18,롯데,5,두산,7,12,E
2015-04-18,LG,4,SK,8,12,E
2015-04-18,NC,6,한화,8,14,E
2015-04-18,KT,1,삼성,3,4,E
2015-04-18,넥센,5,KIA,1,6,E
2015-04-19,넥센,15,KIA,4,19,O
2015-04-21,SK,9,KT,3,12,E
2015-04-21,삼성,5,NC,0,5,O
2015-04-21,롯데,2,KIA,3,5,O
2015-04-21,두산,0,넥센,12,12,E
2015-04-21,한화,0,LG,10,10,E
2015-04-22,한화,5,LG,2,7,O
2015-04-22,두산,12,넥센,9,21,O
2015-04-22,롯데,7,KIA,6,13,O
2015-04-22,삼성,6,NC,2,8,E
2015-04-22,SK,0,KT,2,2,E
2015-04-23,SK,3,KT,2,5,O
2015-04-23,삼성,14,NC,4,18,E
2015-04-23,롯데,6,KIA,7,13,O
2015-04-23,두산,7,넥센,5,12,E
2015-04-23,한화,2,LG,5,7,O
2015-04-24,KIA,3,두산,7,10,E
2015-04-24,SK,0,한화,2,2,E
2015-04-24,삼성,3,롯데,5,8,E
2015-04-24,LG,3,NC,11,14,E
2015-04-24,넥센,9,KT,2,11,O
2015-04-25,넥센,3,KT,0,3,O
2015-04-25,LG,6,NC,2,8,E
2015-04-25,삼성,9,롯데,12,21,O
2015-04-25,SK,6,한화,7,13,O
2015-04-25,KIA,5,두산,4,9,O
2015-04-26,KIA,3,두산,4,7,O
2015-04-26,SK,4,한화,5,9,O
2015-04-26,삼성,1,롯데,7,8,E
2015-04-26,넥센,11,KT,4,15,O
2015-04-26,LG,7,NC,6,13,O
2015-04-28,KT,2,두산,6,8,E
2015-04-28,롯데,4,넥센,8,12,E
2015-04-28,NC,8,SK,6,14,E
2015-04-28,LG,7,삼성,4,11,O
2015-04-29,한화,4,KIA,9,13,O
2015-04-29,LG,2,삼성,6,8,E
2015-04-30,KT,3,두산,4,7,O
2015-04-30,롯데,4,넥센,2,6,E
2015-04-30,NC,6,SK,9,15,O
2015-04-30,LG,5,삼성,8,13,O
2015-04-30,한화,6,KIA,0,6,E
2015-05-01,넥센,3,LG,1,4,E
2015-05-01,롯데,5,한화,7,12,E
2015-05-01,두산,4,삼성,12,16,E
2015-05-01,SK,3,KIA,1,4,E
2015-05-01,NC,4,KT,2,6,E
2015-05-02,NC,12,KT,2,14,E
2015-05-02,SK,2,KIA,5,7,O
2015-05-02,두산,3,삼성,5,8,E
2015-05-02,롯데,3,한화,5,8,E
2015-05-02,넥센,4,LG,3,7,O
2015-05-03,넥센,6,LG,2,8,E
2015-05-03,롯데,6,한화,3,9,O
2015-05-03,NC,11,KT,2,13,O
2015-05-05,KIA,3,NC,7,10,E
2015-05-05,SK,11,롯데,4,15,O
2015-05-05,KT,8,한화,15,23,O
2015-05-05,삼성,4,넥센,9,13,O
2015-05-05,LG,3,두산,10,13,O
2015-05-06,LG,4,두산,5,9,O
2015-05-06,삼성,5,넥센,3,8,E
2015-05-06,KT,8,한화,5,13,O
2015-05-06,SK,5,롯데,3,8,E
2015-05-06,KIA,4,NC,5,9,O
2015-05-07,KIA,4,NC,2,6,E
2015-05-07,SK,3,롯데,2,5,O
2015-05-07,KT,7,한화,6,13,O
2015-05-07,삼성,13,넥센,4,17,O
2015-05-07,LG,6,두산,4,10,E
2015-05-08,LG,3,KT,7,10,E
2015-05-08,롯데,3,NC,4,7,O
2015-05-08,삼성,0,SK,3,3,O
2015-05-08,KIA,4,넥센,5,9,O
2015-05-08,한화,10,두산,6,16,E
2015-05-09,한화,3,두산,4,7,O
2015-05-09,KIA,5,넥센,7,12,E
2015-05-09,삼성,3,SK,1,4,E
2015-05-09,롯데,3,NC,6,9,O
2015-05-09,LG,2,KT,3,5,O
2015-05-10,롯데,2,NC,6,8,E
2015-05-10,삼성,5,SK,7,12,E
2015-05-10,KIA,11,넥센,6,17,O
2015-05-10,한화,0,두산,6,6,E
2015-05-10,LG,6,KT,2,8,E
2015-05-12,넥센,4,롯데,5,9,O
2015-05-12,KT,2,KIA,3,5,O
2015-05-12,한화,5,삼성,4,9,O
2015-05-13,넥센,8,롯데,9,17,O
2015-05-13,KT,8,KIA,9,17,O
2015-05-13,한화,0,삼성,3,3,O
2015-05-13,두산,5,SK,2,7,O
2015-05-13,NC,2,LG,6,8,E
2015-05-14,NC,0,LG,0,0,E
2015-05-14,두산,8,SK,9,17,O
2015-05-14,한화,9,삼성,7,16,E
2015-05-14,KT,2,KIA,10,12,E
2015-05-14,넥센,10,롯데,5,15,O
2015-05-15,롯데,11,KT,10,21,O
2015-05-15,NC,7,삼성,5,12,E
2015-05-15,넥센,6,한화,3,9,O
2015-05-15,SK,5,LG,2,7,O
2015-05-16,롯데,10,KT,1,11,O
2015-05-16,두산,7,KIA,5,12,E
2015-05-16,NC,8,삼성,9,17,O
2015-05-16,넥센,8,한화,5,13,O
2015-05-16,SK,7,LG,6,13,O
2015-05-17,SK,4,LG,6,10,E
2015-05-17,NC,2,삼성,0,2,E
2015-05-17,두산,3,KIA,4,7,O
2015-05-17,롯데,6,KT,2,8,E
2015-05-17,넥센,6,한화,7,13,O
2015-05-19,KT,4,NC,2,6,E
2015-05-19,KIA,3,롯데,6,9,O
2015-05-19,한화,5,SK,7,12,E
2015-05-19,LG,10,넥센,12,22,E
2015-05-20,삼성,25,두산,6,31,O
2015-05-20,LG,4,넥센,9,13,O
2015-05-20,한화,6,SK,7,13,O
2015-05-20,KIA,9,롯데,5,14,E
2015-05-20,KT,2,NC,4,6,E
2015-05-21,KT,2,NC,5,7,O
2015-05-21,KIA,2,롯데,4,6,E
2015-05-21,한화,7,SK,1,8,E
2015-05-21,LG,4,넥센,3,7,O
2015-05-21,삼성,6,두산,1,7,O
2015-05-22,SK,3,두산,4,7,O
2015-05-22,NC,10,넥센,0,10,E
2015-05-22,삼성,8,KIA,1,9,O
2015-05-22,LG,20,롯데,12,32,E
2015-05-22,한화,9,KT,5,14,E
2015-05-23,한화,6,KT,1,7,O
2015-05-23,LG,11,롯데,19,30,E
2015-05-23,삼성,0,KIA,1,1,O
2015-05-23,NC,9,넥센,5,14,E
2015-05-23,SK,0,두산,9,9,O
2015-05-24,한화,4,KT,13,17,O
2015-05-24,LG,3,롯데,10,13,O
2015-05-24,삼성,0,KIA,2,2,E
2015-05-24,NC,12,넥센,11,23,O
2015-05-24,SK,2,두산,7,9,O
2015-05-26,두산,2,NC,13,15,O
2015-05-26,넥센,0,삼성,4,4,E
2015-05-26,KIA,10,한화,3,13,O
2015-05-26,롯데,10,SK,5,15,O
2015-05-26,KT,2,LG,5,7,O
2015-05-27,KT,1,LG,8,9,O
2015-05-27,롯데,0,SK,6,6,E
2015-05-27,KIA,4,한화,8,12,E
2015-05-27,넥센,13,삼성,4,17,O
2015-05-27,두산,1,NC,7,8,E
2015-05-28,두산,0,NC,5,5,O
2015-05-28,넥센,13,삼성,6,19,O
2015-05-28,KIA,0,한화,3,3,O
2015-05-28,롯데,3,SK,1,4,E
2015-05-28,KT,4,LG,0,4,E
2015-05-29,한화,1,롯데,9,10,E
2015-05-29,삼성,4,LG,1,5,O
2015-05-29,넥센,9,SK,2,11,O
2015-05-29,NC,3,KIA,13,16,E
2015-05-29,두산,10,KT,3,13,O
2015-05-30,삼성,4,LG,1,5,O
2015-05-30,한화,4,롯데,3,7,O
2015-05-30,넥센,2,SK,2,4,E
2015-05-30,NC,11,KIA,6,17,O
2015-05-30,두산,7,KT,4,11,O
2015-05-31,한화,3,롯데,8,11,O
2015-05-31,삼성,9,LG,3,12,E
2015-05-31,넥센,3,SK,2,5,O
2015-05-31,두산,10,KT,6,16,E
2015-05-31,NC,7,KIA,6,13,O
2015-06-02,롯데,7,삼성,13,20,E
2015-06-02,KIA,9,두산,1,10,E
2015-06-02,한화,7,넥센,8,15,O
2015-06-02,LG,18,NC,5,23,O
2015-06-02,SK,20,KT,6,26,E
2015-06-03,SK,2,KT,4,6,E
2015-06-03,LG,8,NC,4,12,E
2015-06-03,한화,6,넥센,2,8,E
2015-06-03,KIA,1,두산,8,9,O
2015-06-03,롯데,1,삼성,8,9,O
2015-06-04,롯데,2,삼성,6,8,E
2015-06-04,KIA,6,두산,0,6,E
2015-06-04,한화,2,넥센,15,17,O
2015-06-04,LG,4,NC,1,5,O
2015-06-04,SK,3,KT,7,10,E
2015-06-05,삼성,6,NC,1,7,O
2015-06-05,KT,5,한화,6,11,O
2015-06-05,두산,6,넥센,14,20,E
2015-06-05,SK,2,LG,3,5,O
2015-06-06,SK,8,LG,5,13,O
2015-06-06,두산,8,넥센,9,17,O
2015-06-06,KT,4,한화,6,10,E
2015-06-06,KIA,2,롯데,1,3,O
2015-06-06,삼성,4,NC,5,9,O
2015-06-07,삼성,1,NC,14,15,O
2015-06-07,KIA,2,롯데,4,6,E
2015-06-07,KT,4,한화,3,7,O
2015-06-07,두산,9,넥센,4,13,O
2015-06-07,SK,3,LG,0,3,O
2015-06-09,KT,7,롯데,2,9,O
2015-06-09,넥센,4,KIA,7,11,O
2015-06-09,한화,6,삼성,2,8,E
2015-06-09,NC,10,SK,2,12,E
2015-06-09,두산,5,LG,2,7,O
2015-06-10,두산,1,LG,5,6,E
2015-06-10,NC,7,SK,2,9,O
2015-06-10,한화,7,삼성,2,9,O
2015-06-10,넥센,4,KIA,3,7,O
2015-06-10,KT,10,롯데,7,17,O
2015-06-11,KT,16,롯데,6,22,E
2015-06-11,넥센,3,KIA,5,8,E
2015-06-11,한화,5,삼성,2,7,O
2015-06-11,두산,6,LG,0,6,E
2015-06-12,넥센,5,KT,6,11,O
2015-06-12,삼성,10,KIA,2,12,E
2015-06-12,LG,10,한화,7,17,O
2015-06-12,롯데,2,SK,8,10,E
2015-06-12,NC,8,두산,5,13,O
2015-06-13,NC,2,두산,4,6,E
2015-06-13,롯데,4,SK,5,9,O
2015-06-13,LG,1,한화,8,9,O
2015-06-13,삼성,4,KIA,7,11,O
2015-06-13,넥센,10,KT,1,11,O
2015-06-14,넥센,14,KT,10,24,E
2015-06-14,LG,3,한화,8,11,O
2015-06-14,롯데,1,SK,0,1,O
2015-06-14,NC,2,두산,6,8,E
2015-06-16,NC,3,KT,4,7,O
2015-06-16,두산,5,삼성,4,9,O
2015-06-16,SK,2,한화,7,9,O
2015-06-16,롯데,1,넥센,9,10,E
2015-06-16,KIA,4,LG,3,7,O
2015-06-17,KIA,0,LG,5,5,O
2015-06-17,롯데,8,넥센,1,9,O
2015-06-17,SK,7,한화,6,13,O
2015-06-17,두산,7,삼성,8,15,O
2015-06-17,NC,4,KT,12,16,E
2015-06-18,NC,9,KT,4,13,O
2015-06-18,두산,6,삼성,3,9,O
2015-06-18,SK,7,한화,2,9,O
2015-06-18,롯데,0,넥센,6,6,E
2015-06-18,KIA,3,LG,5,8,E
2015-06-19,한화,3,NC,4,7,O
2015-06-19,KT,3,KIA,7,10,E
2015-06-19,삼성,7,SK,3,10,E
2015-06-19,LG,4,넥센,2,6,E
2015-06-19,롯데,4,두산,3,7,O
2015-06-20,한화,1,NC,4,5,O
2015-06-21,한화,0,NC,6,6,E
2015-06-21,KT,0,KIA,7,7,O
2015-06-21,삼성,4,SK,3,7,O
2015-06-21,LG,3,넥센,4,7,O
2015-06-21,롯데,0,두산,10,10,E
2015-06-23,LG,4,KT,8,12,E
2015-06-23,KIA,7,NC,4,11,O
2015-06-23,삼성,12,롯데,4,16,E
2015-06-23,넥센,1,한화,3,4,E
2015-06-23,SK,1,두산,10,11,O
2015-06-24,SK,7,두산,5,12,E
2015-06-24,삼성,9,롯데,13,22,E
2015-06-24,KIA,1,NC,8,9,O
2015-06-24,LG,6,KT,2,8,E
2015-06-25,LG,10,KT,4,14,E
2015-06-25,SK,8,두산,7,15,O
2015-06-26,넥센,2,롯데,8,10,E
2015-06-26,두산,9,KIA,1,10,E
2015-06-26,KT,3,삼성,8,11,O
2015-06-26,한화,6,SK,0,6,E
2015-06-26,NC,6,LG,3,9,O
2015-06-27,NC,5,LG,9,14,E
2015-06-27,한화,6,SK,8,14,E
2015-06-27,KT,2,삼성,7,9,O
2015-06-27,두산,9,KIA,4,13,O
2015-06-27,넥센,8,롯데,3,11,O
2015-06-28,넥센,7,롯데,1,8,E
2015-06-28,두산,1,KIA,2,3,O
2015-06-28,KT,8,삼성,3,11,O
2015-06-28,한화,6,SK,3,9,O
2015-06-28,NC,1,LG,4,5,O
2015-07-01,LG,4,두산,8,12,E
2015-07-01,삼성,13,넥센,10,23,O
2015-07-01,KT,4,SK,2,6,E
2015-07-01,한화,1,KIA,6,7,O
2015-07-01,롯데,4,NC,3,7,O
2015-07-02,롯데,2,NC,3,5,O
2015-07-02,한화,14,KIA,7,21,O
2015-07-02,KT,2,SK,5,7,O
2015-07-02,삼성,0,넥센,2,2,E
2015-07-02,LG,7,두산,2,9,O
2015-07-03,넥센,7,두산,8,15,O
2015-07-03,NC,6,한화,7,13,O
2015-07-03,LG,8,삼성,12,20,E
2015-07-03,SK,8,롯데,7,15,O
2015-07-03,KIA,3,KT,10,13,O
2015-07-04,KIA,3,KT,12,15,O
2015-07-04,SK,2,롯데,7,9,O
2015-07-04,LG,3,삼성,10,13,O
2015-07-04,NC,6,한화,7,13,O
2015-07-04,넥센,9,두산,5,14,E
2015-07-05,넥센,6,두산,5,11,O
2015-07-05,LG,4,삼성,12,16,E
2015-07-05,SK,5,롯데,1,6,E
2015-07-05,KIA,2,KT,9,11,O
2015-07-07,KIA,3,넥센,1,4,E
2015-07-07,롯데,7,LG,6,13,O
2015-07-08,두산,9,한화,4,13,O
2015-07-08,KIA,3,넥센,4,7,O
2015-07-08,롯데,0,LG,1,1,O
2015-07-09,롯데,1,LG,2,3,O
2015-07-09,KIA,4,넥센,16,20,E
2015-07-09,두산,6,한화,5,11,O
2015-07-09,SK,1,삼성,2,3,O
2015-07-09,KT,0,NC,11,11,O
2015-07-10,삼성,8,KT,16,24,E
2015-07-10,두산,6,롯데,5,11,O
2015-07-10,KIA,4,SK,7,11,O
2015-07-10,NC,4,넥센,1,5,O
2015-07-10,한화,8,LG,5,13,O
2015-07-11,삼성,2,KT,6,8,E
2015-07-11,KIA,0,SK,4,4,E
2015-07-11,NC,16,넥센,5,21,O
2015-07-11,한화,5,LG,3,8,E
2015-07-14,SK,4,NC,9,13,O
2015-07-14,LG,3,KIA,2,5,O
2015-07-14,롯데,3,한화,4,7,O
2015-07-14,KT,8,두산,1,9,O
2015-07-14,넥센,10,삼성,6,16,E
2015-07-15,SK,7,NC,6,13,O
2015-07-15,롯데,12,한화,10,22,E
2015-07-15,KT,0,두산,11,11,O
2015-07-15,넥센,4,삼성,7,11,O
2015-07-16,넥센,13,삼성,17,30,E
2015-07-16,KT,0,두산,3,3,O
2015-07-16,롯데,7,한화,4,11,O
2015-07-16,LG,1,KIA,15,16,E
2015-07-16,SK,2,NC,2,4,E
2015-07-21,한화,7,KT,4,11,O
2015-07-21,KIA,2,삼성,1,3,O
2015-07-21,두산,4,SK,8,12,E
2015-07-21,넥센,4,LG,1,5,O
2015-07-21,NC,1,롯데,2,3,O
2015-07-22,한화,3,KT,5,8,E
2015-07-22,KIA,10,삼성,14,24,E
2015-07-22,두산,11,SK,4,15,O
2015-07-22,넥센,3,LG,5,8,E
2015-07-22,NC,3,롯데,2,5,O
2015-07-23,NC,11,롯데,9,20,E
2015-07-23,두산,5,SK,6,11,O
2015-07-23,KIA,7,삼성,2,9,O
2015-07-24,두산,9,NC,3,12,E
2015-07-24,롯데,8,KIA,9,17,O
2015-07-24,삼성,8,한화,3,11,O
2015-07-25,두산,5,NC,8,13,O
2015-07-25,롯데,7,KIA,1,8,E
2015-07-25,삼성,1,한화,2,3,O
2015-07-26,KT,0,LG,9,9,O
2015-07-26,SK,4,넥센,14,18,E
2015-07-26,삼성,8,한화,2,10,E
2015-07-26,롯데,4,KIA,2,6,E
2015-07-26,두산,7,NC,5,12,E
2015-07-28,LG,0,롯데,3,3,O
2015-07-28,SK,3,KIA,6,9,O
2015-07-28,NC,1,삼성,2,3,O
2015-07-28,KT,4,넥센,8,12,E
2015-07-28,한화,10,두산,2,12,E
2015-07-29,LG,2,롯데,3,5,O
2015-07-29,SK,4,KIA,5,9,O
2015-07-29,NC,7,삼성,12,19,O
2015-07-29,KT,4,넥센,6,10,E
2015-07-29,한화,2,두산,8,10,E
2015-07-30,LG,8,롯데,5,13,O
2015-07-30,SK,4,KIA,5,9,O
2015-07-30,NC,7,삼성,10,17,O
2015-07-30,KT,6,넥센,10,16,E
2015-07-30,한화,5,두산,2,7,O
2015-07-31,삼성,11,두산,4,15,O
2015-07-31,LG,1,SK,3,4,E
2015-07-31,KIA,12,한화,4,16,E
2015-07-31,넥센,7,NC,4,11,O
2015-07-31,롯데,12,KT,2,14,E
2015-08-01,삼성,7,두산,3,10,E
2015-08-01,LG,8,SK,4,12,E
2015-08-01,KIA,9,한화,8,17,O
2015-08-01,넥센,3,NC,4,7,O
2015-08-01,롯데,6,KT,19,25,O
2015-08-02,롯데,9,KT,10,19,O
2015-08-02,넥센,4,NC,5,9,O
2015-08-02,KIA,3,한화,2,5,O
2015-08-02,LG,2,SK,8,10,E
2015-08-02,삼성,1,두산,3,4,E
2015-08-04,두산,3,롯데,0,3,O
2015-08-04,NC,8,LG,1,9,O
2015-08-04,KIA,6,넥센,11,17,O
2015-08-04,한화,2,SK,9,11,O
2015-08-04,삼성,9,KT,4,13,O
2015-08-05,삼성,11,KT,1,12,E
2015-08-05,한화,3,SK,7,10,E
2015-08-05,KIA,2,넥센,3,5,O
2015-08-05,NC,6,LG,2,8,E
2015-08-05,두산,6,롯데,8,14,E
2015-08-06,SK,8,삼성,14,22,E
2015-08-06,넥센,5,두산,15,20,E
2015-08-06,LG,1,한화,4,5,O
2015-08-06,KT,7,KIA,2,9,O
2015-08-06,롯데,3,NC,8,11,O
2015-08-07,롯데,0,NC,13,13,O
2015-08-07,KT,5,KIA,6,11,O
2015-08-07,LG,6,한화,5,11,O
2015-08-07,넥센,10,두산,14,24,E
2015-08-07,SK,4,삼성,17,21,O
2015-08-08,KIA,2,NC,9,11,O
2015-08-08,롯데,4,한화,6,10,E
2015-08-08,KT,8,SK,11,19,O
2015-08-08,LG,4,두산,3,7,O
2015-08-09,LG,1,두산,9,10,E
2015-08-09,KT,10,SK,4,14,E
2015-08-09,롯데,1,한화,2,3,O
2015-08-09,넥센,2,삼성,3,5,O
2015-08-09,KIA,9,NC,2,11,O
2015-08-11,삼성,3,LG,7,10,E
2015-08-11,NC,9,넥센,8,17,O
2015-08-11,SK,6,롯데,11,17,O
2015-08-11,한화,4,KT,0,4,E
2015-08-12,한화,13,KT,4,17,O
2015-08-12,두산,3,KIA,10,13,O
2015-08-12,NC,9,넥센,6,15,O
2015-08-12,삼성,4,LG,1,5,O
2015-08-13,NC,1,두산,7,8,E
2015-08-13,한화,4,넥센,9,13,O
2015-08-13,LG,16,SK,7,23,O
2015-08-13,삼성,5,KIA,2,7,O
2015-08-13,롯데,4,KT,2,6,E
2015-08-14,롯데,4,KT,9,13,O
2015-08-14,삼성,1,KIA,13,14,E
2015-08-14,LG,2,SK,8,10,E
2015-08-14,한화,2,넥센,8,10,E
2015-08-14,NC,3,두산,2,5,O
2015-08-15,한화,4,삼성,5,9,O
2015-08-15,KIA,2,LG,1,3,O
2015-08-15,롯데,4,넥센,3,7,O
2015-08-15,두산,5,SK,4,9,O
2015-08-15,KT,4,NC,5,9,O
2015-08-16,KT,7,NC,2,9,O
2015-08-16,한화,5,삼성,6,11,O
2015-08-18,넥센,5,KT,15,20,E
2015-08-18,LG,4,롯데,7,11,O
2015-08-18,SK,2,KIA,4,6,E
2015-08-18,NC,2,한화,1,3,O
2015-08-18,삼성,12,두산,2,14,E
2015-08-19,삼성,6,두산,4,10,E
2015-08-19,NC,6,한화,0,6,E
2015-08-19,SK,0,KIA,2,2,E
2015-08-19,LG,2,롯데,7,9,O
2015-08-19,넥센,9,KT,10,19,O
2015-08-20,KT,8,한화,3,11,O
2015-08-20,SK,3,넥센,4,7,O
2015-08-20,두산,2,LG,4,6,E
2015-08-21,두산,2,LG,1,3,O
2015-08-21,SK,8,넥센,3,11,O
2015-08-21,KT,3,한화,8,11,O
2015-08-21,NC,6,삼성,3,9,O
2015-08-21,KIA,1,롯데,9,10,E
2015-08-22,두산,3,KT,4,7,O
2015-08-22,한화,3,KIA,0,3,O
2015-08-22,롯데,4,삼성,15,19,O
2015-08-22,NC,3,SK,0,3,O
2015-08-22,넥센,3,LG,4,7,O
2015-08-23,두산,9,KT,7,16,E
2015-08-23,한화,4,KIA,9,13,O
2015-08-23,롯데,15,삼성,0,15,O
2015-08-23,NC,5,SK,1,6,E
2015-08-23,넥센,4,LG,5,9,O
2015-08-25,KIA,1,SK,0,1,O
2015-08-26,LG,6,NC,1,7,O
2015-08-26,삼성,9,한화,10,19,O
2015-08-26,KIA,4,SK,5,9,O
2015-08-26,KT,1,넥센,9,10,E
2015-08-26,롯데,3,두산,5,8,E
2015-08-27,KIA,3,KT,5,8,E
2015-08-27,한화,1,NC,4,5,O
2015-08-27,넥센,3,롯데,8,11,O
2015-08-27,두산,6,삼성,7,13,O
2015-08-27,SK,6,LG,3,9,O
2015-08-28,SK,4,LG,0,4,E
2015-08-28,두산,5,삼성,3,8,E
2015-08-28,넥센,9,롯데,5,14,E
2015-08-28,한화,8,NC,5,13,O
2015-08-28,KIA,0,KT,10,10,E
2015-08-29,SK,2,KT,10,12,E
2015-08-29,NC,7,롯데,4,11,O
2015-08-29,넥센,14,KIA,7,21,O
2015-08-29,LG,8,삼성,4,12,E
2015-08-29,한화,1,두산,6,7,O
2015-08-30,한화,4,두산,5,9,O
2015-08-30,LG,9,삼성,15,24,E
2015-08-30,넥센,7,KIA,2,9,O
2015-08-30,NC,6,롯데,4,10,E
2015-08-30,SK,4,KT,6,10,E
2015-09-01,KT,5,롯데,6,11,O
2015-09-01,SK,5,두산,6,11,O
2015-09-01,LG,2,넥센,11,13,O
2015-09-01,KIA,2,한화,8,10,E
2015-09-01,삼성,7,NC,6,13,O
2015-09-02,삼성,13,NC,0,13,O
2015-09-02,KIA,5,한화,4,9,O
2015-09-02,LG,8,넥센,9,17,O
2015-09-02,SK,3,두산,6,9,O
2015-09-02,KT,1,롯데,5,6,E
2015-09-03,KT,3,LG,1,4,E
2015-09-03,삼성,14,SK,2,16,E
2015-09-03,넥센,12,한화,7,19,O
2015-09-03,롯데,7,KIA,5,12,E
2015-09-03,두산,4,NC,15,19,O
2015-09-04,두산,5,NC,2,7,O
2015-09-04,롯데,4,KIA,1,5,O
2015-09-04,넥센,6,한화,5,11,O
2015-09-04,삼성,1,SK,9,10,E
2015-09-04,KT,1,LG,8,9,O
2015-09-05,롯데,9,LG,4,13,O
2015-09-05,넥센,7,SK,0,7,O
2015-09-05,두산,1,한화,9,10,E
2015-09-05,KIA,4,삼성,0,4,E
2015-09-05,NC,2,KT,10,12,E
2015-09-06,NC,7,KT,0,7,O
2015-09-06,KIA,3,삼성,9,12,E
2015-09-06,두산,4,한화,5,9,O
2015-09-06,넥센,3,SK,7,10,E
2015-09-06,롯데,1,LG,1,2,E
2015-09-08,NC,5,KIA,1,6,E
2015-09-08,KT,1,삼성,4,5,O
2015-09-08,롯데,10,SK,4,14,E
2015-09-08,두산,3,넥센,11,14,E
2015-09-08,한화,7,LG,8,15,O
2015-09-09,한화,1,LG,8,9,O
2015-09-09,두산,5,넥센,10,15,O
2015-09-09,롯데,2,SK,3,5,O
2015-09-09,KT,5,삼성,6,11,O
2015-09-09,NC,2,KIA,6,8,E
2015-09-10,LG,3,KT,4,7,O
2015-09-10,넥센,5,NC,4,9,O
2015-09-10,삼성,3,롯데,4,7,O
2015-09-10,SK,8,한화,1,9,O
2015-09-10,KIA,5,두산,3,8,E
2015-09-11,LG,5,KT,7,12,E
2015-09-11,넥센,3,NC,9,12,E
2015-09-11,삼성,9,롯데,7,16,E
2015-09-11,SK,9,한화,4,13,O
2015-09-12,KT,11,두산,1,12,E
2015-09-12,삼성,2,넥센,3,5,O
2015-09-12,LG,3,KIA,7,10,E
2015-09-12,한화,2,롯데,11,13,O
2015-09-12,SK,2,NC,5,7,O
2015-09-13,SK,11,NC,12,23,O
2015-09-13,한화,7,롯데,4,11,O
2015-09-13,LG,5,KIA,2,7,O
2015-09-13,삼성,7,넥센,4,11,O
2015-09-13,KT,3,두산,4,7,O
