Date,Team1,Team2
2025-03-22,롯데,LG
2025-03-22,두산,SSG
2025-03-22,키움,삼성
2025-03-22,한화,KT
2025-03-22,NC,KIA
2025-03-23,NC,KIA
2025-03-23,한화,KT
2025-03-23,키움,삼성
2025-03-23,두산,SSG
2025-03-23,롯데,LG
2025-03-25,키움,KIA
2025-03-25,NC,삼성
2025-03-25,두산,KT
2025-03-25,롯데,SSG
2025-03-25,한화,LG
2025-03-26,한화,LG
2025-03-26,롯데,SSG
2025-03-26,두산,KT
2025-03-26,NC,삼성
2025-03-26,키움,KIA
2025-03-27,키움,KIA
2025-03-27,NC,삼성
2025-03-27,두산,KT
2025-03-27,롯데,SSG
2025-03-27,한화,LG
2025-03-28,삼성,두산
2025-03-28,SSG,키움
2025-03-28,KIA,한화
2025-03-28,KT,롯데
2025-03-28,LG,NC
2025-03-29,LG,NC
2025-03-29,KT,롯데
2025-03-29,KIA,한화
2025-03-29,SSG,키움
2025-03-29,삼성,두산
2025-03-30,삼성,두산
2025-03-30,SSG,키움
2025-03-30,KIA,한화
2025-03-30,KT,롯데
2025-03-30,LG,NC
2025-04-01,키움,두산
2025-04-01,SSG,NC
2025-04-01,LG,KT
2025-04-01,삼성,KIA
2025-04-01,롯데,한화
2025-04-02,롯데,한화
2025-04-02,삼성,KIA
2025-04-02,LG,KT
2025-04-02,SSG,NC
2025-04-02,키움,두산
2025-04-03,키움,두산
2025-04-03,SSG,NC
2025-04-03,LG,KT
2025-04-03,삼성,KIA
2025-04-03,롯데,한화
2025-04-04,NC,키움
2025-04-04,한화,삼성
2025-04-04,두산,롯데
2025-04-04,KT,SSG
2025-04-04,KIA,LG
2025-04-05,KIA,LG
2025-04-05,KT,SSG
2025-04-05,두산,롯데
2025-04-05,한화,삼성
2025-04-05,NC,키움
2025-04-06,NC,키움
2025-04-06,한화,삼성
2025-04-06,두산,롯데
2025-04-06,KT,SSG
2025-04-06,KIA,LG
2025-04-08,LG,키움
2025-04-08,NC,KT
2025-04-08,SSG,삼성
2025-04-08,KIA,롯데
2025-04-08,한화,두산
2025-04-09,한화,두산
2025-04-09,KIA,롯데
2025-04-09,SSG,삼성
2025-04-09,NC,KT
2025-04-09,LG,키움
2025-04-10,LG,키움
2025-04-10,NC,KT
2025-04-10,SSG,삼성
2025-04-10,KIA,롯데
2025-04-10,한화,두산
2025-04-11,두산,LG
2025-04-11,롯데,NC
2025-04-11,삼성,KT
2025-04-11,SSG,KIA
2025-04-11,키움,한화
2025-04-12,키움,한화
2025-04-12,SSG,KIA
2025-04-12,삼성,KT
2025-04-12,롯데,NC
2025-04-12,두산,LG
2025-04-13,두산,LG
2025-04-13,롯데,NC
2025-04-13,삼성,KT
2025-04-13,SSG,KIA
2025-04-13,키움,한화
2025-04-15,KT,KIA
2025-04-15,두산,NC
2025-04-15,키움,롯데
2025-04-15,한화,SSG
2025-04-15,삼성,LG
2025-04-16,KT,KIA
2025-04-16,두산,NC
2025-04-16,키움,롯데
2025-04-16,한화,SSG
2025-04-16,삼성,LG
2025-04-17,삼성,LG
2025-04-17,한화,SSG
2025-04-17,키움,롯데
2025-04-17,두산,NC
2025-04-17,KT,KIA
2025-04-18,NC,한화
2025-04-18,KT,키움
2025-04-18,롯데,삼성
2025-04-18,LG,SSG
2025-04-18,KIA,두산
2025-04-19,NC,한화
2025-04-19,KT,키움
2025-04-19,롯데,삼성
2025-04-19,LG,SSG
2025-04-19,KIA,두산
2025-04-20,KIA,두산
2025-04-20,LG,SSG
2025-04-20,롯데,삼성
2025-04-20,KT,키움
2025-04-20,NC,한화
2025-04-22,두산,키움
2025-04-22,SSG,KT
2025-04-22,KIA,삼성
2025-04-22,한화,롯데
2025-04-22,NC,LG
2025-04-23,두산,키움
2025-04-23,SSG,KT
2025-04-23,KIA,삼성
2025-04-23,한화,롯데
2025-04-23,NC,LG
2025-04-24,NC,LG
2025-04-24,한화,롯데
2025-04-24,KIA,삼성
2025-04-24,SSG,KT
2025-04-24,두산,키움
2025-04-25,KT,한화
2025-04-25,LG,KIA
2025-04-25,삼성,NC
2025-04-25,키움,SSG
2025-04-25,롯데,두산
2025-04-26,KT,한화
2025-04-26,LG,KIA
2025-04-26,삼성,NC
2025-04-26,키움,SSG
2025-04-26,롯데,두산
2025-04-27,롯데,두산
2025-04-27,키움,SSG
2025-04-27,삼성,NC
2025-04-27,LG,KIA
2025-04-27,KT,한화
2025-04-29,LG,한화
2025-04-29,롯데,키움
2025-04-29,KIA,NC
2025-04-29,삼성,SSG
2025-04-29,KT,두산
2025-04-30,KT,두산
2025-04-30,삼성,SSG
2025-04-30,KIA,NC
2025-04-30,롯데,키움
2025-04-30,LG,한화
2025-05-01,KT,두산
2025-05-01,삼성,SSG
2025-05-01,KIA,NC
2025-05-01,롯데,키움
2025-05-01,LG,한화
2025-05-02,한화,KIA
2025-05-02,키움,KT
2025-05-02,두산,삼성
2025-05-02,NC,롯데
2025-05-02,SSG,LG
2025-05-03,SSG,LG
2025-05-03,NC,롯데
2025-05-03,두산,삼성
2025-05-03,키움,KT
2025-05-03,한화,KIA
2025-05-04,한화,KIA
2025-05-04,키움,KT
2025-05-04,두산,삼성
2025-05-04,NC,롯데
2025-05-04,SSG,LG
2025-05-06,삼성,한화
2025-05-06,KIA,키움
2025-05-06,KT,NC
2025-05-06,SSG,롯데
2025-05-06,LG,두산
2025-05-07,삼성,한화
2025-05-07,KIA,키움
2025-05-07,KT,NC
2025-05-07,SSG,롯데
2025-05-07,LG,두산
2025-05-09,NC,두산
2025-05-09,KIA,SSG
2025-05-09,LG,삼성
2025-05-09,롯데,KT
2025-05-09,한화,키움
2025-05-10,한화,키움
2025-05-10,롯데,KT
2025-05-10,LG,삼성
2025-05-10,KIA,SSG
2025-05-10,NC,두산
2025-05-11,NC,두산
2025-05-11,KIA,SSG
2025-05-11,LG,삼성
2025-05-11,롯데,KT
2025-05-11,한화,키움
2025-05-13,두산,한화
2025-05-13,롯데,KIA
2025-05-13,KT,삼성
2025-05-13,NC,SSG
2025-05-13,키움,LG
2025-05-14,키움,LG
2025-05-14,NC,SSG
2025-05-14,KT,삼성
2025-05-14,롯데,KIA
2025-05-14,두산,한화
2025-05-15,두산,한화
2025-05-15,롯데,KIA
2025-05-15,KT,삼성
2025-05-15,NC,SSG
2025-05-15,키움,LG
2025-05-16,SSG,한화
2025-05-16,두산,KIA
2025-05-16,키움,NC
2025-05-16,삼성,롯데
2025-05-16,KT,LG
2025-05-17,KT,LG
2025-05-17,삼성,롯데
2025-05-17,키움,NC
2025-05-17,두산,KIA
2025-05-17,SSG,한화
2025-05-18,SSG,한화
2025-05-18,두산,KIA
2025-05-18,키움,NC
2025-05-18,삼성,롯데
2025-05-18,KT,LG
2025-05-20,SSG,두산
2025-05-20,LG,롯데
2025-05-20,한화,NC
2025-05-20,KIA,KT
2025-05-20,삼성,키움
2025-05-21,삼성,키움
2025-05-21,KIA,KT
2025-05-21,한화,NC
2025-05-21,LG,롯데
2025-05-21,SSG,두산
2025-05-22,SSG,두산
2025-05-22,LG,롯데
2025-05-22,한화,NC
2025-05-22,KIA,KT
2025-05-22,삼성,키움
2025-05-23,롯데,한화
2025-05-23,KT,키움
2025-05-23,KIA,삼성
2025-05-23,LG,SSG
2025-05-23,NC,두산
2025-05-24,롯데,한화
2025-05-24,KT,키움
2025-05-24,KIA,삼성
2025-05-24,LG,SSG
2025-05-24,NC,두산
2025-05-25,NC,두산
2025-05-25,LG,SSG
2025-05-25,KIA,삼성
2025-05-25,KT,키움
2025-05-25,롯데,한화
2025-05-27,키움,KIA
2025-05-27,두산,KT
2025-05-27,롯데,삼성
2025-05-27,NC,SSG
2025-05-27,한화,LG
2025-05-28,키움,KIA
2025-05-28,두산,KT
2025-05-28,롯데,삼성
2025-05-28,NC,SSG
2025-05-28,한화,LG
2025-05-29,한화,LG
2025-05-29,NC,SSG
2025-05-29,롯데,삼성
2025-05-29,두산,KT
2025-05-29,키움,KIA
2025-05-30,두산,키움
2025-05-30,KIA,KT
2025-05-30,한화,NC
2025-05-30,SSG,롯데
2025-05-30,삼성,LG
2025-05-31,삼성,LG
2025-05-31,SSG,롯데
2025-05-31,한화,NC
2025-05-31,KIA,KT
2025-05-31,두산,키움
2025-06-01,두산,키움
2025-06-01,삼성,LG
2025-06-01,SSG,롯데
2025-06-01,한화,NC
2025-06-01,KIA,KT
2025-06-03,KT,한화
2025-06-03,LG,NC
2025-06-03,키움,롯데
2025-06-03,삼성,SSG
2025-06-03,KIA,두산
2025-06-04,KIA,두산
2025-06-04,삼성,SSG
2025-06-04,키움,롯데
2025-06-04,LG,NC
2025-06-04,KT,한화
2025-06-05,KT,한화
2025-06-05,LG,NC
2025-06-05,키움,롯데
2025-06-05,삼성,SSG
2025-06-05,KIA,두산
2025-06-06,롯데,두산
2025-06-06,NC,삼성
2025-06-06,SSG,KT
2025-06-06,한화,KIA
2025-06-06,LG,키움
2025-06-07,LG,키움
2025-06-07,한화,KIA
2025-06-07,SSG,KT
2025-06-07,NC,삼성
2025-06-07,롯데,두산
2025-06-08,LG,키움
2025-06-08,한화,KIA
2025-06-08,SSG,KT
2025-06-08,NC,삼성
2025-06-08,롯데,두산
2025-06-10,SSG,LG
2025-06-10,롯데,KT
2025-06-10,삼성,KIA
2025-06-10,NC,키움
2025-06-10,두산,한화
2025-06-11,두산,한화
2025-06-11,NC,키움
2025-06-11,삼성,KIA
2025-06-11,롯데,KT
2025-06-11,SSG,LG
2025-06-12,두산,한화
2025-06-12,NC,키움
2025-06-12,삼성,KIA
2025-06-12,롯데,KT
2025-06-12,SSG,LG
2025-06-13,키움,두산
2025-06-13,롯데,SSG
2025-06-13,KT,삼성
2025-06-13,KIA,NC
2025-06-13,LG,한화
2025-06-14,LG,한화
2025-06-14,KIA,NC
2025-06-14,KT,삼성
2025-06-14,롯데,SSG
2025-06-14,키움,두산
2025-06-15,LG,한화
2025-06-15,KIA,NC
2025-06-15,KT,삼성
2025-06-15,롯데,SSG
2025-06-15,키움,두산
2025-06-17,NC,LG
2025-06-17,한화,롯데
2025-06-17,두산,삼성
2025-06-17,KT,KIA
2025-06-17,SSG,키움
2025-06-18,SSG,키움
2025-06-18,KT,KIA
2025-06-18,두산,삼성
2025-06-18,한화,롯데
2025-06-18,NC,LG
2025-06-19,SSG,키움
2025-06-19,KT,KIA
2025-06-19,두산,삼성
2025-06-19,한화,롯데
2025-06-19,NC,LG
2025-06-20,두산,LG
2025-06-20,KIA,SSG
2025-06-20,삼성,롯데
2025-06-20,NC,KT
2025-06-20,키움,한화
2025-06-21,키움,한화
2025-06-21,NC,KT
2025-06-21,삼성,롯데
2025-06-21,KIA,SSG
2025-06-21,두산,LG
2025-06-22,키움,한화
2025-06-22,NC,KT
2025-06-22,삼성,롯데
2025-06-22,KIA,SSG
2025-06-22,두산,LG
2025-06-24,SSG,두산
2025-06-24,한화,삼성
2025-06-24,롯데,NC
2025-06-24,LG,KT
2025-06-24,KIA,키움
2025-06-25,KIA,키움
2025-06-25,LG,KT
2025-06-25,롯데,NC
2025-06-25,한화,삼성
2025-06-25,SSG,두산
2025-06-26,KIA,키움
2025-06-26,LG,KT
2025-06-26,롯데,NC
2025-06-26,한화,삼성
2025-06-26,SSG,두산
2025-06-27,KIA,LG
2025-06-27,한화,SSG
2025-06-27,KT,롯데
2025-06-27,두산,NC
2025-06-27,삼성,키움
2025-06-28,삼성,키움
2025-06-28,두산,NC
2025-06-28,KT,롯데
2025-06-28,한화,SSG
2025-06-28,KIA,LG
2025-06-29,삼성,키움
2025-06-29,KIA,LG
2025-06-29,한화,SSG
2025-06-29,KT,롯데
2025-06-29,두산,NC
2025-07-01,삼성,두산
2025-07-01,LG,롯데
2025-07-01,키움,KT
2025-07-01,SSG,KIA
2025-07-01,NC,한화
2025-07-02,NC,한화
2025-07-02,SSG,KIA
2025-07-02,키움,KT
2025-07-02,LG,롯데
2025-07-02,삼성,두산
2025-07-03,NC,한화
2025-07-03,SSG,KIA
2025-07-03,키움,KT
2025-07-03,LG,롯데
2025-07-03,삼성,두산
2025-07-04,KT,두산
2025-07-04,LG,삼성
2025-07-04,SSG,NC
2025-07-04,롯데,KIA
2025-07-04,한화,키움
2025-07-05,한화,키움
2025-07-05,롯데,KIA
2025-07-05,SSG,NC
2025-07-05,LG,삼성
2025-07-05,KT,두산
2025-07-06,한화,키움
2025-07-06,롯데,KIA
2025-07-06,SSG,NC
2025-07-06,LG,삼성
2025-07-06,KT,두산
2025-07-08,키움,LG
2025-07-08,KT,SSG
2025-07-08,두산,롯데
2025-07-08,삼성,NC
2025-07-08,KIA,한화
2025-07-09,KIA,한화
2025-07-09,삼성,NC
2025-07-09,두산,롯데
2025-07-09,KT,SSG
2025-07-09,키움,LG
2025-07-10,KIA,한화
2025-07-10,삼성,NC
2025-07-10,두산,롯데
2025-07-10,KT,SSG
2025-07-10,키움,LG
2025-07-17,롯데,LG
2025-07-17,두산,SSG
2025-07-17,키움,삼성
2025-07-17,한화,KT
2025-07-17,NC,KIA
2025-07-18,NC,KIA
2025-07-18,한화,KT
2025-07-18,키움,삼성
2025-07-18,두산,SSG
2025-07-18,롯데,LG
2025-07-19,NC,KIA
2025-07-19,한화,KT
2025-07-19,키움,삼성
2025-07-19,두산,SSG
2025-07-19,롯데,LG
2025-07-20,롯데,LG
2025-07-20,두산,SSG
2025-07-20,키움,삼성
2025-07-20,한화,KT
2025-07-20,NC,KIA
2025-07-22,롯데,키움
2025-07-22,LG,KIA
2025-07-22,KT,NC
2025-07-22,SSG,삼성
2025-07-22,한화,두산
2025-07-23,롯데,키움
2025-07-23,LG,KIA
2025-07-23,KT,NC
2025-07-23,SSG,삼성
2025-07-23,한화,두산
2025-07-24,한화,두산
2025-07-24,SSG,삼성
2025-07-24,KT,NC
2025-07-24,LG,KIA
2025-07-24,롯데,키움
2025-07-25,SSG,한화
2025-07-25,삼성,KT
2025-07-25,키움,NC
2025-07-25,KIA,롯데
2025-07-25,LG,두산
2025-07-26,LG,두산
2025-07-26,KIA,롯데
2025-07-26,키움,NC
2025-07-26,삼성,KT
2025-07-26,SSG,한화
2025-07-27,SSG,한화
2025-07-27,삼성,KT
2025-07-27,키움,NC
2025-07-27,KIA,롯데
2025-07-27,LG,두산
2025-07-29,삼성,한화
2025-07-29,두산,KIA
2025-07-29,NC,롯데
2025-07-29,키움,SSG
2025-07-29,KT,LG
2025-07-30,삼성,한화
2025-07-30,두산,KIA
2025-07-30,NC,롯데
2025-07-30,키움,SSG
2025-07-30,KT,LG
2025-07-31,KT,LG
2025-07-31,키움,SSG
2025-07-31,NC,롯데
2025-07-31,두산,KIA
2025-07-31,삼성,한화
